asin,title,brand,price_inr,mrp_inr,rating,review_count,sponsored,badge,search_query
B015HN7R7S,NIVEA,Cleansing,6923.0,1385.0,4.2,78.0,False,,nivea men body wash
B0030443QK,Dove Men Body and Face Wash Clean Comfort 250ml,Moisturizing,2212.0,884.0,4.5,78.0,False,,dove men care body wash
B0899ZM7FX,Kimirica,Up to 5% back with Amazon Pay ICICI card,499.0,166.0,4.2,78.0,False,,old spice body wash
B0B2P4JMXQ,KIMIRICA,"hydrating,moisturizing",382.0,127.0,4.3,75.0,False,,old spice body wash
B0F3V7MPK3,Gush,Up to 5% back with Amazon Pay ICICI card,599.0,299.0,4.6,75.0,False,,old spice body wash
B01CGEO6A2,NIVEA,Up to 5% back with Amazon Pay ICICI card,249.0,99.0,4.0,75.0,False,,nivea men body wash
B0D8YKWB1X,Old Tree,for bathing,872.0,17.0,4.1,74.0,False,,old spice body wash
B0G2BF4DHX,Multani,Body Cleansing,122.0,45.0,4.4,73.0,False,,beardo body wash
B0CVX1B1Z1,Forest Essentials,Up to 5% back with Amazon Pay ICICI card,1650.0,165000.0,4.6,72.0,False,,old spice body wash
B0C3387MGK,Ustraa,Fresh,284.0,113.0,3.9,68.0,False,Limited time deal,ustraa body wash
B0CCJF69P9,The Man Company,Up to 5% back with Amazon Pay ICICI card,899.0,2596.0,4.2,67.0,False,,the man company body wash
B0F3P5BFMW,Dermafique,Hydrating,198.0,79.0,4.3,64.0,False,,bombay shaving company body wash
B07V4QFPYW,Nivea,Hydrating,305.0,474.0,4.3,64.0,False,,nivea men body wash
B09KXPR7M2,"Mancode Activated Charcoal Body Wash For Men 450ml, Shower Gel For Men, Bodywash Men, Body Wash For Men, Oil Control, Active Charcoal and Natural Oils Extract, Odor Protection",2% off coupon appliedSave 2%with coupon,225.0,50.0,3.9,62.0,False,,ustraa body wash
B0FN5VZDNT,"WildOak AHA BHA Exfoliating Body Wash | 750ml Value Pack | Salicylic, Mandelic, Glycolic Acid & Probiotics | Shower Gel | Body Acne, Strawberry Skin, Ingrown Hair & Uneven Texture | Non-Drying Formula",Exfoliating,399.0,53.0,4.0,61.0,False,,beardo body wash
B0DS52G9GC,Arata,5% off coupon appliedSave 5%with coupon,449.0,74.0,3.8,61.0,False,,bombay shaving company body wash
B07VKM2HR5,NIVEA,"Moisturizing, Nourishing",380.0,63.0,4.4,61.0,False,Supersaver,nivea men body wash
B01HBA487W,Fiama,No featured offers available,,,3.8,60.0,False,,fiama men body wash
